,nr,name,y,x,google map
535,536,Arroyo del Oro,43.358683,-6.684119,"http://maps.google.com/maps?ll=43.358683,-6.684119&spn=0.01,0.01&t=h&q=43.358683,-6.684119"
536,537,Faidiel,43.202362,-6.731678,"http://maps.google.com/maps?ll=43.202362,-6.731678&spn=0.01,0.01&t=h&q=43.202362,-6.731678"
537,538,Carcabón de Orrúa,43.332875,-6.761223,"http://maps.google.com/maps?ll=43.332875,-6.761223&spn=0.01,0.01&t=h&q=43.332875,-6.761223"
538,539,Solmayor,43.42047,-7.120685,"http://maps.google.com/maps?ll=43.42047,-7.120685&spn=0.01,0.01&t=h&q=43.42047,-7.120685"
539,540,Arganza,43.238064,-6.540513,"http://maps.google.com/maps?ll=43.238064,-6.540513&spn=0.01,0.01&t=h&q=43.238064,-6.540513"
540,541,Río Ibias,43.033094,-6.866902,"http://maps.google.com/maps?ll=43.033094,-6.866902&spn=0.01,0.01&t=h&q=43.033094,-6.866902"
541,542,San Félix de Las Montañas,43.264214,-6.536641,"http://maps.google.com/maps?ll=43.264214,-6.536641&spn=0.01,0.01&t=h&q=43.264214,-6.536641"
542,543,Ablaneda,43.375336,-6.260581,"http://maps.google.com/maps?ll=43.375336,-6.260581&spn=0.01,0.01&t=h&q=43.375336,-6.260581"
543,544,Riodeporcos,43.093857,-6.85472,"http://maps.google.com/maps?ll=43.093857,-6.85472&spn=0.01,0.01&t=h&q=43.093857,-6.85472"
544,545,Gumuldur,38.076393,27.02204,"http://maps.google.com/maps?ll=38.076393,27.02204&spn=0.01,0.01&t=h&q=38.076393,27.02204"
545,546,Dolaucothi,52.0446,-3.9498,"http://maps.google.com/maps?ll=52.0446,-3.9498&spn=0.01,0.01&t=h&q=52.0446,-3.9498"
546,547,Llanymynech,52.781339,-3.09027,"http://maps.google.com/maps?ll=52.781339,-3.09027&spn=0.01,0.01&t=h&q=52.781339,-3.09027"
547,548,Matlock,53.08389,-1.47908,"http://maps.google.com/maps?ll=53.08389,-1.47908&spn=0.01,0.01&t=h&q=53.08389,-1.47908"
548,549,Parys Mountain,53.382222,-4.3525,"http://maps.google.com/maps?ll=53.382222,-4.3525&spn=0.01,0.01&t=h&q=53.382222,-4.3525"
549,550,Victumlae,0.0,0.0,"http://maps.google.com/maps?ll=0.0,0.0&spn=0.01,0.01&t=h&q=0.0,0.0"
550,551,Wirksworth,53.08,-1.57,"http://maps.google.com/maps?ll=53.08,-1.57&spn=0.01,0.01&t=h&q=53.08,-1.57"
